年份,品类,指标,省份,数值,单位,作物类别
2023,双季晚稻,产量,海南,595000.0,吨,粮食作物
2023,双季晚稻,产量,云南,38000.0,吨,粮食作物
2023,双季晚稻,种植面积,浙江,1564500.0,亩,粮食作物
2023,双季晚稻,种植面积,安徽,2715000.0,亩,粮食作物
2023,双季晚稻,种植面积,福建,3790500.0,亩,粮食作物
2023,双季晚稻,种植面积,江西,18558000.0,亩,粮食作物
2023,双季晚稻,种植面积,湖北,2164500.0,亩,粮食作物
2023,双季晚稻,种植面积,湖南,18907500.0,亩,粮食作物
2023,双季晚稻,种植面积,广东,14425500.0,亩,粮食作物
2023,双季晚稻,种植面积,广西,12217500.0,亩,粮食作物
2023,双季晚稻,种植面积,海南,1747500.0,亩,粮食作物
2023,向日葵籽,种植面积,北京,7500.0,亩,经济作物
2023,向日葵籽,种植面积,天津,3000.0,亩,经济作物
2023,向日葵籽,种植面积,河北,739500.0,亩,经济作物
2023,向日葵籽,种植面积,山西,519000.0,亩,经济作物
2023,向日葵籽,种植面积,内蒙古,7449000.0,亩,经济作物
2023,向日葵籽,种植面积,辽宁,39000.0,亩,经济作物
2023,向日葵籽,种植面积,吉林,63000.0,亩,经济作物
2023,向日葵籽,种植面积,黑龙江,10500.0,亩,经济作物
2023,向日葵籽,种植面积,江苏,3000.0,亩,经济作物
2023,向日葵籽,种植面积,浙江,4500.0,亩,经济作物
2023,向日葵籽,种植面积,安徽,7500.0,亩,经济作物
2023,向日葵籽,种植面积,福建,1500.0,亩,经济作物
2023,向日葵籽,种植面积,江西,6000.0,亩,经济作物
2023,向日葵籽,种植面积,山东,21000.0,亩,经济作物
2023,向日葵籽,种植面积,河南,90000.0,亩,经济作物
2023,向日葵籽,种植面积,湖北,48000.0,亩,经济作物
2023,向日葵籽,种植面积,湖南,25500.0,亩,经济作物
2023,向日葵籽,种植面积,广西,4500.0,亩,经济作物
2023,向日葵籽,种植面积,重庆,30000.0,亩,经济作物
2023,向日葵籽,种植面积,贵州,63000.0,亩,经济作物
2023,向日葵籽,种植面积,云南,55500.0,亩,经济作物
2023,向日葵籽,种植面积,陕西,262500.0,亩,经济作物
2023,向日葵籽,种植面积,甘肃,412500.0,亩,经济作物
2023,向日葵籽,种植面积,宁夏,45000.0,亩,经济作物
2023,向日葵籽,种植面积,新疆,957000.0,亩,经济作物
2023,夏粮,产量,全国,146152000.0,吨,粮食作物
2023,夏粮,种植面积,全国,399129000.0,亩,粮食作物
2023,大豆,产量,全国,20841700.0,吨,粮食作物
2023,大豆,产量,北京,10000.0,吨,粮食作物
2023,大豆,产量,天津,13000.0,吨,粮食作物
2023,大豆,产量,河北,245000.0,吨,粮食作物
2023,大豆,产量,山西,201000.0,吨,粮食作物
2023,大豆,产量,内蒙古,2444000.0,吨,粮食作物
2023,大豆,产量,辽宁,280000.0,吨,粮食作物
2023,大豆,产量,吉林,744000.0,吨,粮食作物
2023,大豆,产量,黑龙江,9278000.0,吨,粮食作物
2023,大豆,产量,上海,1000.0,吨,粮食作物
2023,大豆,产量,江苏,624000.0,吨,粮食作物
2023,大豆,产量,安徽,978000.0,吨,粮食作物
2023,大豆,产量,福建,101000.0,吨,粮食作物
2023,大豆,产量,江西,294000.0,吨,粮食作物
2023,大豆,产量,山东,640000.0,吨,粮食作物
2023,大豆,产量,河南,927000.0,吨,粮食作物
2023,大豆,产量,湖北,428000.0,吨,粮食作物
2023,大豆,产量,湖南,380000.0,吨,粮食作物
2023,大豆,产量,广东,96000.0,吨,粮食作物
2023,大豆,产量,广西,174000.0,吨,粮食作物
2023,大豆,产量,海南,4000.0,吨,粮食作物
2023,大豆,产量,重庆,244000.0,吨,粮食作物
2023,大豆,产量,四川,1247000.0,吨,粮食作物
2023,大豆,产量,贵州,272000.0,吨,粮食作物
2023,大豆,产量,云南,342000.0,吨,粮食作物
2023,大豆,产量,陕西,317000.0,吨,粮食作物
2023,大豆,产量,甘肃,115000.0,吨,粮食作物
2023,大豆,产量,宁夏,34000.0,吨,粮食作物
2023,大豆,产量,新疆,193000.0,吨,粮食作物
2023,大豆,种植面积,全国,157107600.0,亩,粮食作物
2023,小麦,产量,北京,133900.0,吨,粮食作物
2023,小麦,产量,天津,744700.0,吨,粮食作物
2023,小麦,产量,河北,14855600.0,吨,粮食作物
2023,小麦,产量,山西,2470800.0,吨,粮食作物
2023,小麦,产量,内蒙古,1324600.0,吨,粮食作物
2023,小麦,产量,辽宁,7900.0,吨,粮食作物
2023,小麦,产量,吉林,17100.0,吨,粮食作物
2023,小麦,产量,黑龙江,74600.0,吨,粮食作物
2023,小麦,产量,上海,129400.0,吨,粮食作物
2023,小麦,产量,江苏,13735300.0,吨,粮食作物
2023,小麦,产量,浙江,664300.0000000001,吨,粮食作物
2023,小麦,产量,安徽,17407200.0,吨,粮食作物
2023,小麦,产量,福建,200.0,吨,粮食作物
2023,小麦,产量,江西,34600.0,吨,粮食作物
2023,小麦,产量,山东,26737600.000000004,吨,粮食作物
2023,小麦,产量,河南,35497300.0,吨,粮食作物
2023,小麦,产量,湖北,4104200.0,吨,粮食作物
2023,小麦,产量,湖南,77100.0,吨,粮食作物
2023,小麦,产量,广东,2100.0,吨,粮食作物
2023,小麦,产量,重庆,62400.0,吨,粮食作物
2023,小麦,产量,四川,2659300.0,吨,粮食作物
2023,小麦,产量,贵州,276500.0,吨,粮食作物
2023,小麦,产量,云南,554200.0,吨,粮食作物
2023,小麦,产量,西藏,191700.00000000003,吨,粮食作物
2023,小麦,产量,陕西,4166300.0,吨,粮食作物
2023,小麦,产量,甘肃,2991700.0,吨,粮食作物
2023,小麦,产量,青海,396599.99999999994,吨,粮食作物
2023,小麦,产量,宁夏,234500.0,吨,粮食作物
2023,小麦,产量,新疆,7028400.0,吨,粮食作物
2023,小麦,种植面积,全国,354408750.0,亩,粮食作物
2023,小麦,种植面积,北京,374850.0,亩,粮食作物
2023,小麦,种植面积,天津,1843200.0,亩,粮食作物
2023,小麦,种植面积,河北,33715050.0,亩,粮食作物
2023,小麦,种植面积,山西,8038050.0,亩,粮食作物
2023,小麦,种植面积,内蒙古,6014250.0,亩,粮食作物
2023,小麦,种植面积,辽宁,29250.0,亩,粮食作物
2023,小麦,种植面积,吉林,74850.0,亩,粮食作物
2023,小麦,种植面积,黑龙江,289350.0,亩,粮食作物
2023,小麦,种植面积,江苏,35842800.0,亩,粮食作物
2023,小麦,种植面积,浙江,2289300.0,亩,粮食作物
2023,小麦,种植面积,安徽,42940500.0,亩,粮食作物
2023,小麦,种植面积,福建,900.0,亩,粮食作物
2023,小麦,种植面积,江西,168750.0,亩,粮食作物
2023,小麦,种植面积,山东,60132900.0,亩,粮食作物
2023,小麦,种植面积,河南,85291050.0,亩,粮食作物
2023,小麦,种植面积,湖北,15575850.000000002,亩,粮食作物
2023,小麦,种植面积,湖南,340500.0,亩,粮食作物
2023,小麦,种植面积,广东,9900.0,亩,粮食作物
2023,小麦,种植面积,广西,69000.0,亩,粮食作物
2023,小麦,种植面积,重庆,279900.0,亩,粮食作物
2023,小麦,种植面积,四川,8895000.0,亩,粮食作物
2023,小麦,种植面积,贵州,1657650.0,亩,粮食作物
2023,小麦,种植面积,云南,3855299.9999999995,亩,粮食作物
2023,小麦,种植面积,西藏,494400.0,亩,粮食作物
2023,小麦,种植面积,陕西,14115750.0,亩,粮食作物
2023,小麦,种植面积,甘肃,11102250.0,亩,粮食作物
2023,小麦,种植面积,青海,1515600.0,亩,粮食作物
2023,小麦,种植面积,新疆,18138300.0,亩,粮食作物
2023,早稻,产量,全国,28337000.0,吨,粮食作物
2023,早稻,种植面积,全国,70996500.0,亩,粮食作物
2023,春小麦,产量,北京,2000.0,吨,粮食作物
2023,春小麦,产量,天津,98000.0,吨,粮食作物
2023,春小麦,产量,河北,78000.0,吨,粮食作物
2023,春小麦,产量,山西,1000.0,吨,粮食作物
2023,春小麦,产量,内蒙古,1325000.0,吨,粮食作物
2023,春小麦,产量,辽宁,8000.0,吨,粮食作物
2023,春小麦,产量,吉林,17000.0,吨,粮食作物
2023,春小麦,产量,黑龙江,75000.0,吨,粮食作物
2023,春小麦,产量,四川,20000.0,吨,粮食作物
2023,春小麦,产量,西藏,64000.0,吨,粮食作物
2023,春小麦,产量,甘肃,1151000.0,吨,粮食作物
2023,春小麦,产量,青海,397000.0,吨,粮食作物
2023,春小麦,产量,宁夏,183000.0,吨,粮食作物
2023,春小麦,产量,新疆,1406000.0,吨,粮食作物
2023,春小麦,种植面积,北京,6000.0,亩,粮食作物
2023,春小麦,种植面积,天津,255000.0,亩,粮食作物
2023,春小麦,种植面积,山西,4500.0,亩,粮食作物
2023,春小麦,种植面积,内蒙古,6015000.0,亩,粮食作物
2023,春小麦,种植面积,辽宁,30000.0,亩,粮食作物
2023,春小麦,种植面积,吉林,75000.0,亩,粮食作物
2023,春小麦,种植面积,黑龙江,289500.0,亩,粮食作物
2023,春小麦,种植面积,四川,105000.0,亩,粮食作物
2023,春小麦,种植面积,西藏,171000.0,亩,粮食作物
2023,春小麦,种植面积,甘肃,3222000.0,亩,粮食作物
2023,春小麦,种植面积,青海,1515000.0,亩,粮食作物
2023,春小麦,种植面积,宁夏,595500.0,亩,粮食作物
2023,春小麦,种植面积,新疆,3769500.0,亩,粮食作物
2023,果园,种植面积,全国,191070900.0,亩,经济作物
2023,果园,种植面积,北京,426150.0,亩,经济作物
2023,果园,种植面积,天津,214500.0,亩,经济作物
2023,果园,种植面积,河北,6907500.0,亩,经济作物
2023,果园,种植面积,山西,5704050.0,亩,经济作物
2023,果园,种植面积,内蒙古,1492800.0,亩,经济作物
2023,果园,种植面积,辽宁,5105400.0,亩,经济作物
2023,果园,种植面积,吉林,424500.0,亩,经济作物
2023,果园,种植面积,上海,161400.0,亩,经济作物
2023,果园,种植面积,江苏,2700000.0,亩,经济作物
2023,果园,种植面积,浙江,4375800.0,亩,经济作物
2023,果园,种植面积,安徽,2482650.0,亩,经济作物
2023,果园,种植面积,福建,5756700.0,亩,经济作物
2023,果园,种植面积,江西,6606000.0,亩,经济作物
2023,果园,种植面积,山东,9074700.0,亩,经济作物
2023,果园,种植面积,河南,5800800.0,亩,经济作物
2023,果园,种植面积,湖北,6205650.0,亩,经济作物
2023,果园,种植面积,湖南,8829450.0,亩,经济作物
2023,果园,种植面积,广东,16423200.000000002,亩,经济作物
2023,果园,种植面积,广西,21090300.0,亩,经济作物
2023,果园,种植面积,海南,3124350.0,亩,经济作物
2023,果园,种植面积,重庆,5607750.0,亩,经济作物
2023,果园,种植面积,四川,13304100.0,亩,经济作物
2023,果园,种植面积,贵州,10803150.0,亩,经济作物
2023,果园,种植面积,云南,11517150.0,亩,经济作物
2023,果园,种植面积,西藏,111600.0,亩,经济作物
2023,果园,种植面积,陕西,17455500.0,亩,经济作物
2023,果园,种植面积,青海,39750.0,亩,经济作物
2023,果园,种植面积,宁夏,1441650.0,亩,经济作物
2023,果园,种植面积,新疆,12241500.0,亩,经济作物
2023,柑桔,产量,全国,64338000.0,吨,经济作物
2023,柑桔,产量,上海,58000.0,吨,经济作物
2023,柑桔,产量,江苏,34000.0,吨,经济作物
2023,柑桔,产量,浙江,1871000.0,吨,经济作物
2023,柑桔,产量,安徽,36000.0,吨,经济作物
2023,柑桔,产量,福建,4921000.0,吨,经济作物
2023,柑桔,产量,江西,5042000.0,吨,经济作物
2023,柑桔,产量,河南,52000.0,吨,经济作物
2023,柑桔,产量,湖北,5709000.0,吨,经济作物
2023,柑桔,产量,湖南,6783000.0,吨,经济作物
2023,柑桔,产量,广东,5918000.0,吨,经济作物
2023,柑桔,产量,广西,18946000.0,吨,经济作物
2023,柑桔,产量,海南,157000.0,吨,经济作物
2023,柑桔,产量,重庆,3975000.0,吨,经济作物
2023,柑桔,产量,四川,6150000.0,吨,经济作物
2023,柑桔,产量,贵州,1322000.0,吨,经济作物
2023,柑桔,产量,西藏,1000.0,吨,经济作物
2023,柑桔,产量,陕西,585000.0,吨,经济作物
2023,柑桔,产量,甘肃,4000.0,吨,经济作物
2023,柑桔园,种植面积,全国,45919500.0,亩,经济作物
2023,柑桔园,种植面积,上海,45000.0,亩,经济作物
2023,柑桔园,种植面积,江苏,33000.0,亩,经济作物
2023,柑桔园,种植面积,浙江,1185000.0,亩,经济作物
2023,柑桔园,种植面积,安徽,34500.0,亩,经济作物
2023,柑桔园,种植面积,福建,2419650.0,亩,经济作物
2023,柑桔园,种植面积,江西,5281500.0,亩,经济作物
2023,柑桔园,种植面积,河南,68550.0,亩,经济作物
2023,柑桔园,种植面积,湖北,3645000.0,亩,经济作物
2023,柑桔园,种植面积,湖南,6562500.0,亩,经济作物
2023,柑桔园,种植面积,广东,3925500.0,亩,经济作物
2023,柑桔园,种植面积,广西,9586500.0,亩,经济作物
2023,柑桔园,种植面积,海南,148500.0,亩,经济作物
2023,柑桔园,种植面积,重庆,3517500.0,亩,经济作物
2023,柑桔园,种植面积,四川,5745000.0,亩,经济作物
2023,柑桔园,种植面积,贵州,1336500.0,亩,经济作物
2023,柑桔园,种植面积,西藏,3000.0,亩,经济作物
2023,柑桔园,种植面积,陕西,348000.0,亩,经济作物
2023,柑桔园,种植面积,甘肃,4500.0,亩,经济作物
2023,柞蚕茧,产量,全国,62000.0,吨,经济作物
2023,柿子,产量,全国,3983000.0,吨,经济作物
2023,柿子,产量,北京,4000.0,吨,经济作物
2023,柿子,产量,天津,11000.0,吨,经济作物
2023,柿子,产量,河北,393000.0,吨,经济作物
2023,柿子,产量,山西,358000.0,吨,经济作物
2023,柿子,产量,江苏,81000.0,吨,经济作物
2023,柿子,产量,浙江,61800.0,吨,经济作物
2023,柿子,产量,安徽,85000.0,吨,经济作物
2023,柿子,产量,福建,141000.0,吨,经济作物
2023,柿子,产量,江西,25000.0,吨,经济作物
2023,柿子,产量,山东,109000.0,吨,经济作物
2023,柿子,产量,河南,435804.2,吨,经济作物
2023,柿子,产量,湖北,53000.0,吨,经济作物
2023,柿子,产量,湖南,26000.0,吨,经济作物
2023,柿子,产量,广东,130000.0,吨,经济作物
2023,柿子,产量,重庆,12000.0,吨,经济作物
2023,柿子,产量,四川,57000.0,吨,经济作物
2023,柿子,产量,贵州,19000.0,吨,经济作物
2023,柿子,产量,云南,130000.0,吨,经济作物
2023,柿子,产量,陕西,337000.0,吨,经济作物
2023,柿子,产量,甘肃,33472.68,吨,经济作物
2023,桑蚕茧,产量,全国,772000.0,吨,经济作物
2023,梨,产量,全国,19852600.0,吨,经济作物
2023,梨,产量,北京,34700.0,吨,经济作物
2023,梨,产量,天津,35300.0,吨,经济作物
2023,梨,产量,河北,3956800.0,吨,经济作物
2023,梨,产量,山西,1526200.0,吨,经济作物
2023,梨,产量,内蒙古,79900.0,吨,经济作物
2023,梨,产量,辽宁,1263600.0,吨,经济作物
2023,梨,产量,吉林,71500.0,吨,经济作物
2023,梨,产量,黑龙江,49900.0,吨,经济作物
2023,梨,产量,上海,31400.0,吨,经济作物
2023,梨,产量,江苏,785900.0,吨,经济作物
2023,梨,产量,浙江,336500.0,吨,经济作物
2023,梨,产量,福建,213100.0,吨,经济作物
2023,梨,产量,江西,164300.0,吨,经济作物
2023,梨,产量,山东,1365600.0,吨,经济作物
2023,梨,产量,河南,1503000.0,吨,经济作物
2023,梨,产量,湖北,446900.0,吨,经济作物
2023,梨,产量,湖南,214100.0,吨,经济作物
2023,梨,产量,广东,140300.0,吨,经济作物
2023,梨,产量,广西,533900.0,吨,经济作物
2023,梨,产量,重庆,360200.00000000006,吨,经济作物
2023,梨,产量,四川,932800.0,吨,经济作物
2023,梨,产量,贵州,542500.0,吨,经济作物
2023,梨,产量,云南,834599.9999999999,吨,经济作物
2023,梨,产量,西藏,1800.0,吨,经济作物
2023,梨,产量,陕西,1123000.0,吨,经济作物
2023,梨,产量,甘肃,254500.0,吨,经济作物
2023,梨,产量,青海,5000.0,吨,经济作物
2023,梨,产量,宁夏,18700.0,吨,经济作物
2023,梨,产量,新疆,1609199.9999999998,吨,经济作物
2023,梨园,种植面积,全国,13386000.0,亩,经济作物
2023,梨园,种植面积,天津,43500.0,亩,经济作物
2023,梨园,种植面积,河北,1662000.0,亩,经济作物
2023,梨园,种植面积,山西,804000.0,亩,经济作物
2023,梨园,种植面积,内蒙古,88500.0,亩,经济作物
2023,梨园,种植面积,辽宁,1189500.0,亩,经济作物
2023,梨园,种植面积,吉林,82500.0,亩,经济作物
2023,梨园,种植面积,黑龙江,30000.0,亩,经济作物
2023,梨园,种植面积,上海,27000.0,亩,经济作物
2023,梨园,种植面积,江苏,460500.0,亩,经济作物
2023,梨园,种植面积,浙江,243000.0,亩,经济作物
2023,梨园,种植面积,安徽,613500.0,亩,经济作物
2023,梨园,种植面积,福建,211500.0,亩,经济作物
2023,梨园,种植面积,江西,276000.0,亩,经济作物
2023,梨园,种植面积,山东,577500.0,亩,经济作物
2023,梨园,种植面积,河南,887550.0,亩,经济作物
2023,梨园,种植面积,湖北,363000.0,亩,经济作物
2023,梨园,种植面积,湖南,520500.00000000006,亩,经济作物
2023,梨园,种植面积,广东,136500.0,亩,经济作物
2023,梨园,种植面积,广西,321000.0,亩,经济作物
2023,梨园,种植面积,四川,927000.0,亩,经济作物
2023,梨园,种植面积,贵州,609000.0,亩,经济作物
2023,梨园,种植面积,云南,868500.0,亩,经济作物
2023,梨园,种植面积,西藏,9000.0,亩,经济作物
2023,梨园,种植面积,陕西,663000.0,亩,经济作物
2023,梨园,种植面积,甘肃,281250.0,亩,经济作物
2023,梨园,种植面积,青海,7500.0,亩,经济作物
2023,梨园,种植面积,宁夏,33000.0,亩,经济作物
2023,梨园,种植面积,新疆,1023000.0,亩,经济作物
2023,棉花,产量,全国,5617900.0,吨,经济作物
2023,棉花,产量,天津,1500.0,吨,经济作物
2023,棉花,产量,河北,103900.0,吨,经济作物
2023,棉花,产量,山西,100.0,吨,经济作物
2023,棉花,产量,江苏,5000.0,吨,经济作物
2023,棉花,产量,浙江,3400.0000000000005,吨,经济作物
2023,棉花,产量,安徽,20299.999999999996,吨,经济作物
2023,棉花,产量,江西,22000.0,吨,经济作物
2023,棉花,产量,山东,125800.0,吨,经济作物
2023,棉花,产量,湖北,96000.0,吨,经济作物
2023,棉花,产量,湖南,76000.0,吨,经济作物
2023,棉花,产量,广西,900.0,吨,经济作物
2023,棉花,产量,四川,100.0,吨,经济作物
2023,棉花,产量,贵州,300.0,吨,经济作物
2023,棉花,产量,陕西,200.0,吨,经济作物
2023,棉花,产量,甘肃,42500.0,吨,经济作物
2023,棉花,产量,新疆,5112500.0,吨,经济作物
2023,棉花,种植面积,全国,41822100.0,亩,经济作物
2023,棉花,种植面积,天津,17250.0,亩,经济作物
2023,棉花,种植面积,河北,1290600.0,亩,经济作物
2023,棉花,种植面积,山西,1500.0,亩,经济作物
2023,棉花,种植面积,江苏,51900.0,亩,经济作物
2023,棉花,种植面积,浙江,36450.0,亩,经济作物
2023,棉花,种植面积,安徽,339900.0,亩,经济作物
2023,棉花,种植面积,江西,290700.0,亩,经济作物
2023,棉花,种植面积,山东,1447200.0,亩,经济作物
2023,棉花,种植面积,河南,91800.0,亩,经济作物
2023,棉花,种植面积,湖南,838350.0,亩,经济作物
2023,棉花,种植面积,广西,12600.0,亩,经济作物
2023,棉花,种植面积,四川,2250.0,亩,经济作物
2023,棉花,种植面积,贵州,5100.0,亩,经济作物
2023,棉花,种植面积,陕西,1500.0,亩,经济作物
2023,棉花,种植面积,甘肃,306150.0,亩,经济作物
2023,棉花,种植面积,新疆,35539500.0,亩,经济作物
2023,油料,产量,全国,38636600.0,吨,经济作物
2023,油料,产量,北京,10300.0,吨,经济作物
2023,油料,产量,天津,4200.0,吨,经济作物
2023,油料,产量,河北,1182800.0,吨,经济作物
2023,油料,产量,山西,179300.0,吨,经济作物
2023,油料,产量,内蒙古,2061800.0,吨,经济作物
2023,油料,产量,辽宁,1281399.9999999998,吨,经济作物
2023,油料,产量,吉林,884000.0,吨,经济作物
2023,油料,产量,黑龙江,165200.0,吨,经济作物
2023,油料,产量,上海,6500.0,吨,经济作物
2023,油料,产量,江苏,1034200.0,吨,经济作物
2023,油料,产量,浙江,355700.0,吨,经济作物
2023,油料,产量,福建,243800.0,吨,经济作物
2023,油料,产量,江西,1481300.0,吨,经济作物
2023,油料,产量,山东,2807500.0,吨,经济作物
2023,油料,产量,河南,7030400.0,吨,经济作物
2023,油料,产量,湖北,3948700.0,吨,经济作物
