年份,品类,指标,省份,数值,单位,作物类别
2023,中稻和一季晚稻,产量,北京,2000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,天津,518000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,河北,489000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,山西,15000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,内蒙古,821000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,辽宁,4129000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,吉林,6821000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,黑龙江,24400000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,江苏,20032000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,浙江,3390000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,安徽,14068000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,福建,1688000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,江西,6366000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,山东,861000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,河南,4792000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,湖北,17029000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,湖南,11251000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,广西,954000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,重庆,4920000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,四川,14808000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,贵州,3661000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,云南,4398000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,西藏,5000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,陕西,735000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,甘肃,14000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,宁夏,162000.0,吨,粮食作物
2023,中稻和一季晚稻,产量,新疆,383000.0,吨,粮食作物
2023,中稻和一季晚稻,种植面积,天津,808500.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,河北,1102500.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,山西,33000.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,内蒙古,1551000.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,辽宁,7507500.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,吉林,12432000.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,黑龙江,49027500.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,上海,1564500.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,江苏,33315000.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,浙江,6337500.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,安徽,32226000.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,福建,3811500.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,江西,14167500.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,山东,1515000.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,河南,8862000.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,湖北,30019500.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,湖南,22225500.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,广西,2004000.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,重庆,9855000.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,贵州,8605500.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,云南,9850500.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,西藏,13500.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,陕西,1581000.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,甘肃,34500.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,宁夏,301500.0,亩,粮食作物
2023,中稻和一季晚稻,种植面积,新疆,595500.0,亩,粮食作物
2023,其他茶,产量,全国,49000.0,吨,经济作物
2023,其他茶,产量,陕西,1000.0,吨,经济作物
2023,冬小麦,产量,北京,132000.0,吨,粮食作物
2023,冬小麦,产量,天津,646000.0,吨,粮食作物
2023,冬小麦,产量,河北,14778000.0,吨,粮食作物
2023,冬小麦,产量,山西,2469000.0,吨,粮食作物
2023,冬小麦,产量,上海,129000.0,吨,粮食作物
2023,冬小麦,产量,江苏,13735000.0,吨,粮食作物
2023,冬小麦,产量,浙江,664000.0,吨,粮食作物
2023,冬小麦,产量,安徽,17407000.0,吨,粮食作物
2023,冬小麦,产量,山东,26738000.0,吨,粮食作物
2023,冬小麦,产量,河南,35497000.0,吨,粮食作物
2023,冬小麦,产量,湖北,4104000.0,吨,粮食作物
2023,冬小麦,产量,湖南,77000.0,吨,粮食作物
2023,冬小麦,产量,广东,2000.0,吨,粮食作物
2023,冬小麦,产量,广西,10000.0,吨,粮食作物
2023,冬小麦,产量,重庆,62000.0,吨,粮食作物
2023,冬小麦,产量,四川,2640000.0,吨,粮食作物
2023,冬小麦,产量,贵州,276000.0,吨,粮食作物
2023,冬小麦,产量,云南,554000.0,吨,粮食作物
2023,冬小麦,产量,西藏,128000.0,吨,粮食作物
2023,冬小麦,产量,陕西,4166000.0,吨,粮食作物
2023,冬小麦,产量,甘肃,1841000.0,吨,粮食作物
2023,冬小麦,产量,宁夏,51000.0,吨,粮食作物
2023,冬小麦,产量,新疆,5622000.0,吨,粮食作物
2023,冬小麦,种植面积,北京,369000.0,亩,粮食作物
2023,冬小麦,种植面积,天津,1588500.0,亩,粮食作物
2023,冬小麦,种植面积,河北,33495000.0,亩,粮食作物
2023,冬小麦,种植面积,山西,8034000.0,亩,粮食作物
2023,冬小麦,种植面积,江苏,35842500.0,亩,粮食作物
2023,冬小麦,种植面积,浙江,2289000.0,亩,粮食作物
2023,冬小麦,种植面积,安徽,42940500.0,亩,粮食作物
2023,冬小麦,种植面积,福建,1500.0,亩,粮食作物
2023,冬小麦,种植面积,江西,169500.0,亩,粮食作物
2023,冬小麦,种植面积,山东,60133500.0,亩,粮食作物
2023,冬小麦,种植面积,河南,85291500.0,亩,粮食作物
2023,冬小麦,种植面积,湖北,15576000.000000002,亩,粮食作物
2023,冬小麦,种植面积,湖南,340500.0,亩,粮食作物
2023,冬小麦,种植面积,广东,10500.0,亩,粮食作物
2023,冬小麦,种植面积,广西,69000.0,亩,粮食作物
2023,冬小麦,种植面积,重庆,280500.0,亩,粮食作物
2023,冬小麦,种植面积,四川,8790000.0,亩,粮食作物
2023,冬小麦,种植面积,贵州,1657500.0,亩,粮食作物
2023,冬小麦,种植面积,云南,3855000.0,亩,粮食作物
2023,冬小麦,种植面积,西藏,322500.0,亩,粮食作物
2023,冬小麦,种植面积,陕西,14116500.0,亩,粮食作物
2023,冬小麦,种植面积,甘肃,7879499.999999999,亩,粮食作物
2023,冬小麦,种植面积,宁夏,438000.0,亩,粮食作物
2023,双季晚稻,产量,浙江,693000.0,吨,粮食作物
2023,双季晚稻,产量,安徽,1015000.0,吨,粮食作物
2023,双季晚稻,产量,福建,1658000.0,吨,粮食作物
2023,双季晚稻,产量,江西,7496000.0,吨,粮食作物
2023,双季晚稻,产量,湖北,998000.0,吨,粮食作物
2023,双季晚稻,产量,湖南,7971000.0,吨,粮食作物
2023,双季晚稻,产量,广东,5672000.0,吨,粮食作物
2023,双季晚稻,产量,广西,4555000.0,吨,粮食作物
