年份,品类,指标,省份,数值,单位
2024,双季晚稻,播种面积,湖南,1269.90,千公顷
2024,夏粮,产量,全国,14989,万吨
2024,夏粮,播种面积,全国,26613.10,千公顷
2024,大豆,产量,全国,2065,万吨
2024,大豆,播种面积,全国,10330,千公顷
2024,小麦,产量,全国,14009.90,万吨
2024,小麦,产量,湖北,410.47,万吨
2024,小麦,产量,重庆,6.12,万吨
2024,小麦,产量,贵州,25.98,万吨
2024,小麦,产量,云南,56.40,万吨
2024,小麦,产量,甘肃,303,万吨
2024,小麦,产量,青海,38.01,万吨
2024,小麦,产量,新疆,703.20,万吨
2024,小麦,播种面积,全国,23587.40,千公顷
2024,小麦,播种面积,湖北,1043.54,千公顷
2024,小麦,播种面积,贵州,103.22,千公顷
2024,小麦,播种面积,甘肃,736,千公顷
2024,小麦,播种面积,青海,97.34,千公顷
2024,小麦,播种面积,新疆,1170.10,千公顷
2024,早稻,播种面积,全国,4754.80,千公顷
2024,梨,产量,新疆,189.51,万吨
2024,棉花,产量,全国,616.40,万吨
2024,棉花,产量,天津,0.10,万吨
2024,棉花,产量,河北,7.10,万吨
2024,棉花,产量,江苏,0.44,万吨
2024,棉花,产量,浙江,0.20,万吨
2024,棉花,产量,安徽,1.90,万吨
2024,棉花,产量,江西,2.10,万吨
2024,棉花,产量,山东,12.70,万吨
2024,棉花,产量,河南,0.70,万吨
2024,棉花,产量,湖北,9.31,万吨
2024,棉花,产量,湖南,8.40,万吨
2024,棉花,产量,甘肃,4.70,万吨
2024,棉花,产量,新疆,568.60,万吨
2024,棉花,播种面积,全国,2838.30,千公顷
2024,棉花,播种面积,天津,0.90,千公顷
2024,棉花,播种面积,河北,57.90,千公顷
2024,棉花,播种面积,江苏,3,千公顷
2024,棉花,播种面积,安徽,20.30,千公顷
2024,棉花,播种面积,江西,19,千公顷
2024,棉花,播种面积,山东,99.80,千公顷
2024,棉花,播种面积,河南,5.60,千公顷
2024,棉花,播种面积,湖北,98.40,千公顷
2024,棉花,播种面积,湖南,60.73,千公顷
2024,棉花,播种面积,甘肃,22.20,千公顷
2024,棉花,播种面积,新疆,2447.90,千公顷
2024,油料,产量,全国,3979,万吨
2024,油料,产量,江苏,106.11,万吨
2024,油料,产量,安徽,189.50,万吨
2024,油料,产量,福建,24.91,万吨
2024,油料,产量,江西,151.30,万吨
2024,油料,产量,山东,284.30,万吨
2024,油料,产量,湖北,406.41,万吨
2024,油料,产量,湖南,302.20,万吨
2024,油料,产量,广东,123.15,万吨
2024,油料,产量,四川,460.80,万吨
2024,油料,产量,贵州,116.25,万吨
2024,油料,产量,甘肃,67.40,万吨
2024,油料,产量,青海,33.57,万吨
2024,油料,产量,新疆,49.90,万吨
2024,油料,播种面积,全国,14290,千公顷
2024,油料,播种面积,吉林,243.10,千公顷
2024,油料,播种面积,江苏,317,千公顷
2024,油料,播种面积,安徽,665.40,千公顷
2024,油料,播种面积,江西,818.90,千公顷
2024,油料,播种面积,湖南,1641.04,千公顷
2024,油料,播种面积,广东,366.51,千公顷
2024,油料,播种面积,四川,1771,千公顷
2024,油料,播种面积,贵州,620.71,千公顷
2024,油料,播种面积,青海,150.84,千公顷
2024,油料,播种面积,新疆,153.70,千公顷
2024,油菜籽,产量,江苏,62.92,万吨
2024,油菜籽,产量,安徽,110.80,万吨
2024,油菜籽,产量,福建,1.46,万吨
2024,油菜籽,产量,江西,87.60,万吨
2024,油菜籽,产量,湖北,292.04,万吨
2024,油菜籽,播种面积,浙江,142,千公顷
2024,油菜籽,播种面积,江西,600.20,千公顷
2024,烟叶,产量,江西,2.50,万吨
2024,烟叶,产量,甘肃,0.50,万吨
2024,烤烟,产量,福建,13.82,万吨
2024,烤烟,产量,湖南,20.60,万吨
2024,玉米,产量,全国,29491.70,万吨
2024,玉米,产量,吉林,3459.56,万吨
2024,玉米,产量,湖北,315.24,万吨
2024,玉米,产量,重庆,261,万吨
2024,玉米,产量,贵州,372.63,万吨
2024,玉米,产量,云南,1075.80,万吨
2024,玉米,产量,甘肃,684.90,万吨
2024,玉米,产量,青海,15.96,万吨
2024,玉米,产量,新疆,1508.50,万吨
2024,玉米,播种面积,全国,44740.70,千公顷
2024,玉米,播种面积,吉林,4558.60,千公顷
2024,玉米,播种面积,湖北,765.46,千公顷
2024,玉米,播种面积,贵州,747.80,千公顷
2024,玉米,播种面积,青海,22.78,千公顷
2024,玉米,播种面积,新疆,1579.70,千公顷
2024,瓜果类,播种面积,浙江,82,千公顷
2024,甘蔗,产量,福建,28.50,万吨
2024,甘蔗,播种面积,江西,12.90,千公顷
2024,甜菜,产量,甘肃,18.40,万吨
2024,甜菜,产量,新疆,731.10,万吨
2024,甜菜,播种面积,新疆,86.80,千公顷
2024,秋粮,产量,全国,52843.40,万吨
2024,秋粮,产量,安徽,2325,万吨
2024,秋粮,播种面积,全国,87951.20,千公顷
2024,秋粮,播种面积,湖南,3448.60,千公顷
2024,稻谷,产量,全国,20753,万吨
2024,稻谷,产量,吉林,676.38,万吨
2024,稻谷,产量,福建,397.68,万吨
2024,稻谷,产量,湖北,1889.25,万吨
2024,稻谷,产量,重庆,492.07,万吨
2024,稻谷,产量,贵州,379.47,万吨
2024,稻谷,产量,云南,452.90,万吨
2024,稻谷,播种面积,吉林,823.10,千公顷
2024,稻谷,播种面积,湖北,2276.55,千公顷
2024,稻谷,播种面积,贵州,574.39,千公顷
2024,粮食,产量,全国,70649.90,万吨
2024,粮食,产量,北京,57.60,万吨
2024,粮食,产量,天津,270.60,万吨
2024,粮食,产量,河北,3908.80,万吨
2024,粮食,产量,山西,1468.70,万吨
2024,粮食,产量,内蒙古,4100.50,万吨
2024,粮食,产量,辽宁,2500.50,万吨
2024,粮食,产量,吉林,4266,万吨
2024,粮食,产量,黑龙江,8001.70,万吨
2024,粮食,产量,上海,98.29,万吨
2024,粮食,产量,江苏,3810.10,万吨
2024,粮食,产量,浙江,650.20,万吨
2024,粮食,产量,安徽,4184.30,万吨
2024,粮食,产量,福建,514.38,万吨
2024,粮食,产量,江西,2196,万吨
2024,粮食,产量,山东,5710.20,万吨
2024,粮食,产量,湖北,2785.34,万吨
2024,粮食,产量,湖南,3078.10,万吨
2024,粮食,产量,广东,1313.40,万吨
2024,粮食,产量,广西,1403.80,万吨
2024,粮食,产量,海南,142.40,万吨
2024,粮食,产量,重庆,1100.73,万吨
2024,粮食,产量,四川,3633.80,万吨
2024,粮食,产量,贵州,1146.11,万吨
2024,粮食,产量,西藏,112.90,万吨
2024,粮食,产量,陕西,1352.30,万吨
2024,粮食,产量,甘肃,1296.10,万吨
2024,粮食,产量,青海,118.25,万吨
2024,粮食,产量,宁夏,385.92,万吨
2024,粮食,产量,新疆,2330.20,万吨
2024,粮食,播种面积,全国,119319.10,千公顷
2024,粮食,播种面积,北京,94.20,千公顷
2024,粮食,播种面积,天津,399.10,千公顷
2024,粮食,播种面积,河北,6460.10,千公顷
2024,粮食,播种面积,山西,3151.60,千公顷
2024,粮食,播种面积,辽宁,3577.50,千公顷
2024,粮食,播种面积,吉林,5853.80,千公顷
2024,粮食,播种面积,黑龙江,14754,千公顷
2024,粮食,播种面积,上海,130.30,千公顷
2024,粮食,播种面积,江苏,5475.53,千公顷
2024,粮食,播种面积,浙江,1047,千公顷
2024,粮食,播种面积,安徽,7344.90,千公顷
2024,粮食,播种面积,福建,844.40,千公顷
2024,粮食,播种面积,江西,3774.60,千公顷
2024,粮食,播种面积,山东,8412.60,千公顷
2024,粮食,播种面积,河南,10777.10,千公顷
2024,粮食,播种面积,湖北,4722.60,千公顷
2024,粮食,播种面积,湖南,4773.40,千公顷
2024,粮食,播种面积,广东,2236.75,千公顷
2024,粮食,播种面积,广西,2841.80,千公顷
2024,粮食,播种面积,海南,272.70,千公顷
2024,粮食,播种面积,重庆,2031.90,千公顷
2024,粮食,播种面积,四川,6405.90,千公顷
2024,粮食,播种面积,贵州,2771.40,千公顷
2024,粮食,播种面积,西藏,199.40,千公顷
2024,粮食,播种面积,陕西,3031.90,千公顷
2024,粮食,播种面积,甘肃,2715.90,千公顷
2024,粮食,播种面积,青海,305.87,千公顷
2024,粮食,播种面积,宁夏,694.20,千公顷
2024,粮食,播种面积,新疆,2960,千公顷
2024,糖料,产量,全国,11870,万吨
2024,糖料,播种面积,全国,1480,千公顷
2024,糖料,播种面积,湖南,7.60,千公顷
2024,花生,产量,江苏,41.83,万吨
2024,花生,产量,安徽,73.90,万吨
2024,花生,产量,福建,23.39,万吨
2024,苹果,产量,陕西,1449.86,万吨
2024,苹果,产量,新疆,229.53,万吨
2024,葡萄,产量,新疆,348.28,万吨
2024,蔬菜,产量,天津,266,万吨
2024,蔬菜,产量,河北,5717.30,万吨
2024,蔬菜,产量,上海,253.78,万吨
2024,蔬菜,产量,安徽,4184.50,万吨
2024,蔬菜,产量,重庆,2436.32,万吨
2024,蔬菜,产量,贵州,3543.15,万吨
2024,蔬菜,产量,云南,3094.14,万吨
2024,蔬菜,产量,西藏,96.50,万吨
2024,蔬菜,产量,甘肃,1961.90,万吨
2024,蔬菜,产量,青海,165,万吨
2024,蔬菜,播种面积,上海,87.60,千公顷
2024,蔬菜,播种面积,江苏,1501,千公顷
2024,蔬菜,播种面积,浙江,681,千公顷
2024,蔬菜,播种面积,江西,720.60,千公顷
2024,蔬菜,播种面积,广东,1489.33,千公顷
2024,蔬菜,播种面积,贵州,1453.10,千公顷
2024,蔬菜,播种面积,青海,44.29,千公顷
2024,薯类,产量,全国,3058.40,万吨
2024,薯类,产量,贵州,273.27,万吨
2024,薯类,产量,甘肃,230.70,万吨
2024,薯类,产量,青海,31.34,万吨
2024,薯类,播种面积,全国,7039.10,千公顷
2024,薯类,播种面积,贵州,826.03,千公顷
2024,谷物,产量,全国,65228.70,万吨
2024,谷物,产量,湖北,2624.90,万吨
2024,谷物,产量,重庆,768.15,万吨
2024,谷物,播种面积,全国,100458,千公顷
2024,豆类,产量,全国,2362.80,万吨
2024,豆类,产量,青海,5.07,万吨
2024,豆类,播种面积,全国,11822,千公顷
2024,豆类,播种面积,吉林,395.50,千公顷
2024,豆类,播种面积,青海,18.86,千公顷
2024,香蕉,产量,海南,110.20,万吨
2024,马铃薯,播种面积,甘肃,578,千公顷
2023,中稻和一季晚稻,产量,北京,0.20,万吨
2023,中稻和一季晚稻,产量,天津,51.80,万吨
2023,中稻和一季晚稻,产量,河北,48.90,万吨
2023,中稻和一季晚稻,产量,山西,1.50,万吨
2023,中稻和一季晚稻,产量,内蒙古,82.10,万吨
2023,中稻和一季晚稻,产量,辽宁,412.90,万吨
2023,中稻和一季晚稻,产量,吉林,682.10,万吨
2023,中稻和一季晚稻,产量,黑龙江,2440,万吨
2023,中稻和一季晚稻,产量,江苏,2003.20,万吨
2023,中稻和一季晚稻,产量,浙江,339,万吨
2023,中稻和一季晚稻,产量,安徽,1406.80,万吨
2023,中稻和一季晚稻,产量,福建,168.80,万吨
2023,中稻和一季晚稻,产量,江西,636.60,万吨
2023,中稻和一季晚稻,产量,山东,86.10,万吨
2023,中稻和一季晚稻,产量,河南,479.20,万吨
2023,中稻和一季晚稻,产量,湖北,1702.90,万吨
2023,中稻和一季晚稻,产量,湖南,1125.10,万吨
2023,中稻和一季晚稻,产量,广西,95.40,万吨
2023,中稻和一季晚稻,产量,重庆,492,万吨
2023,中稻和一季晚稻,产量,四川,1480.80,万吨
2023,中稻和一季晚稻,产量,贵州,366.10,万吨
2023,中稻和一季晚稻,产量,云南,439.80,万吨
2023,中稻和一季晚稻,产量,西藏,0.50,万吨
2023,中稻和一季晚稻,产量,陕西,73.50,万吨
2023,中稻和一季晚稻,产量,甘肃,1.40,万吨
2023,中稻和一季晚稻,产量,宁夏,16.20,万吨
2023,中稻和一季晚稻,产量,新疆,38.30,万吨
2023,中稻和一季晚稻,播种面积,天津,53.90,千公顷
2023,中稻和一季晚稻,播种面积,河北,73.50,千公顷
2023,中稻和一季晚稻,播种面积,山西,2.20,千公顷
2023,中稻和一季晚稻,播种面积,内蒙古,103.40,千公顷
2023,中稻和一季晚稻,播种面积,辽宁,500.50,千公顷
2023,中稻和一季晚稻,播种面积,吉林,828.80,千公顷
2023,中稻和一季晚稻,播种面积,黑龙江,3268.50,千公顷
2023,中稻和一季晚稻,播种面积,上海,104.30,千公顷
2023,中稻和一季晚稻,播种面积,江苏,2221,千公顷
2023,中稻和一季晚稻,播种面积,浙江,422.50,千公顷
2023,中稻和一季晚稻,播种面积,安徽,2148.40,千公顷
2023,中稻和一季晚稻,播种面积,福建,254.10,千公顷
2023,中稻和一季晚稻,播种面积,江西,944.50,千公顷
2023,中稻和一季晚稻,播种面积,山东,101,千公顷
2023,中稻和一季晚稻,播种面积,河南,590.80,千公顷
2023,中稻和一季晚稻,播种面积,湖北,2001.30,千公顷
2023,中稻和一季晚稻,播种面积,湖南,1481.70,千公顷
2023,中稻和一季晚稻,播种面积,广西,133.60,千公顷
2023,中稻和一季晚稻,播种面积,重庆,657,千公顷
2023,中稻和一季晚稻,播种面积,贵州,573.70,千公顷
2023,中稻和一季晚稻,播种面积,云南,656.70,千公顷
2023,中稻和一季晚稻,播种面积,西藏,0.90,千公顷
2023,中稻和一季晚稻,播种面积,陕西,105.40,千公顷
2023,中稻和一季晚稻,播种面积,甘肃,2.30,千公顷
2023,中稻和一季晚稻,播种面积,宁夏,20.10,千公顷
2023,中稻和一季晚稻,播种面积,新疆,39.70,千公顷
2023,人均棉花,产量,全国,3.98,公斤
2023,人均棉花,产量,北京,0,公斤
2023,人均棉花,产量,天津,0.11,公斤
2023,人均棉花,产量,河北,1.40,公斤
2023,人均棉花,产量,山西,0,公斤
2023,人均棉花,产量,江苏,0.06,公斤
2023,人均棉花,产量,浙江,0.05,公斤
2023,人均棉花,产量,安徽,0.33,公斤
2023,人均棉花,产量,江西,0.49,公斤
2023,人均棉花,产量,山东,1.24,公斤
2023,人均棉花,产量,河南,0.08,公斤
2023,人均棉花,产量,湖北,1.64,公斤
2023,人均棉花,产量,广西,0.02,公斤
2023,人均棉花,产量,四川,0,公斤
2023,人均棉花,产量,贵州,0.01,公斤
2023,人均棉花,产量,陕西,0,公斤
2023,人均棉花,产量,甘肃,1.71,公斤
2023,人均棉花,产量,新疆,197.20,公斤
2023,人均油料,产量,全国,27.39,公斤
2023,人均油料,产量,北京,0.47,公斤
2023,人均油料,产量,天津,0.31,公斤
2023,人均油料,产量,河北,15.97,公斤
2023,人均油料,产量,山西,5.16,公斤
2023,人均油料,产量,内蒙古,85.96,公斤
2023,人均油料,产量,辽宁,30.59,公斤
2023,人均油料,产量,吉林,37.72,公斤
2023,人均油料,产量,黑龙江,5.36,公斤
2023,人均油料,产量,上海,0.26,公斤
2023,人均油料,产量,江苏,12.14,公斤
2023,人均油料,产量,浙江,5.39,公斤
2023,人均油料,产量,安徽,30.86,公斤
2023,人均油料,产量,江西,32.76,公斤
2023,人均油料,产量,山东,27.68,公斤
2023,人均油料,产量,河南,71.42,公斤
2023,人均油料,产量,湖北,67.60,公斤
2023,人均油料,产量,湖南,44.51,公斤
2023,人均油料,产量,广东,9.54,公斤
2023,人均油料,产量,广西,16.03,公斤
2023,人均油料,产量,海南,7.66,公斤
2023,人均油料,产量,重庆,24.19,公斤
2023,人均油料,产量,四川,52.40,公斤
2023,人均油料,产量,贵州,28.75,公斤
2023,人均油料,产量,云南,14.62,公斤
2023,人均油料,产量,西藏,13.75,公斤
2023,人均油料,产量,陕西,15.33,公斤
2023,人均油料,产量,甘肃,25.46,公斤
2023,人均油料,产量,青海,53.92,公斤
2023,人均油料,产量,宁夏,6.32,公斤
2023,人均油料,产量,新疆,16.66,公斤
2023,人均粮食,产量,全国,492.95,千克
2023,人均粮食,产量,天津,187.55,千克
2023,人均粮食,产量,河北,514.40,千克
2023,人均粮食,产量,山西,425.53,千克
2023,人均粮食,产量,内蒙古,1650.13,千克
2023,人均粮食,产量,辽宁,611.86,千克
2023,人均粮食,产量,吉林,1786.43,千克
2023,人均粮食,产量,黑龙江,2528.23,千克
2023,人均粮食,产量,上海,41.06,千克
2023,人均粮食,产量,江苏,445.71,千克
2023,人均粮食,产量,浙江,96.76,千克
2023,人均粮食,产量,安徽,677.78,千克
2023,人均粮食,产量,福建,122.08,千克
2023,人均粮食,产量,江西,486.19,千克
2023,人均粮食,产量,山东,557.56,千克
2023,人均粮食,产量,河南,672.96,千克
2023,人均粮食,产量,湖北,475.44,千克
2023,人均粮食,产量,湖南,465.84,千克
2023,人均粮食,产量,广东,101.34,千克
2023,人均粮食,产量,广西,277.02,千克
2023,人均粮食,产量,重庆,342.25,千克
2023,人均粮食,产量,四川,429.31,千克
2023,人均粮食,产量,贵州,290.04,千克
2023,人均粮食,产量,西藏,298.67,千克
2023,人均粮食,产量,陕西,334.76,千克
2023,人均粮食,产量,甘肃,513.58,千克
2023,人均粮食,产量,青海,195.51,千克
2023,人均粮食,产量,宁夏,519.97,千克
2023,人均粮食,产量,新疆,817.42,千克
2023,其他茶,产量,全国,49000,吨
2023,其他茶,产量,陕西,1000,吨
2023,冬小麦,产量,北京,13.20,万吨
2023,冬小麦,产量,天津,64.60,万吨
2023,冬小麦,产量,河北,1477.80,万吨
2023,冬小麦,产量,山西,246.90,万吨
2023,冬小麦,产量,上海,12.90,万吨
2023,冬小麦,产量,江苏,1373.50,万吨
2023,冬小麦,产量,浙江,66.40,万吨
2023,冬小麦,产量,安徽,1740.70,万吨
2023,冬小麦,产量,山东,2673.80,万吨
2023,冬小麦,产量,河南,3549.70,万吨
2023,冬小麦,产量,湖北,410.40,万吨
2023,冬小麦,产量,湖南,7.70,万吨
2023,冬小麦,产量,广东,0.20,万吨
2023,冬小麦,产量,广西,1,万吨
2023,冬小麦,产量,重庆,6.20,万吨
2023,冬小麦,产量,四川,264,万吨
2023,冬小麦,产量,贵州,27.60,万吨
2023,冬小麦,产量,云南,55.40,万吨
2023,冬小麦,产量,西藏,12.80,万吨
2023,冬小麦,产量,陕西,416.60,万吨
2023,冬小麦,产量,甘肃,184.10,万吨
2023,冬小麦,产量,宁夏,5.10,万吨
2023,冬小麦,产量,新疆,562.20,万吨
2023,冬小麦,播种面积,北京,24.60,千公顷
2023,冬小麦,播种面积,天津,105.90,千公顷
2023,冬小麦,播种面积,河北,2233,千公顷
2023,冬小麦,播种面积,山西,535.60,千公顷
2023,冬小麦,播种面积,江苏,2389.50,千公顷
2023,冬小麦,播种面积,浙江,152.60,千公顷
2023,冬小麦,播种面积,安徽,2862.70,千公顷
2023,冬小麦,播种面积,福建,0.10,千公顷
2023,冬小麦,播种面积,江西,11.30,千公顷
2023,冬小麦,播种面积,山东,4008.90,千公顷
2023,冬小麦,播种面积,河南,5686.10,千公顷
2023,冬小麦,播种面积,湖北,1038.40,千公顷
2023,冬小麦,播种面积,湖南,22.70,千公顷
2023,冬小麦,播种面积,广东,0.70,千公顷
2023,冬小麦,播种面积,广西,4.60,千公顷
2023,冬小麦,播种面积,重庆,18.70,千公顷
2023,冬小麦,播种面积,四川,586,千公顷
2023,冬小麦,播种面积,贵州,110.50,千公顷
2023,冬小麦,播种面积,云南,257,千公顷
2023,冬小麦,播种面积,西藏,21.50,千公顷
2023,冬小麦,播种面积,陕西,941.10,千公顷
2023,冬小麦,播种面积,甘肃,525.30,千公顷
2023,冬小麦,播种面积,宁夏,29.20,千公顷
2023,双季晚稻,产量,浙江,69.30,万吨
2023,双季晚稻,产量,安徽,101.50,万吨
2023,双季晚稻,产量,福建,165.80,万吨
2023,双季晚稻,产量,江西,749.60,万吨
2023,双季晚稻,产量,湖北,99.80,万吨
2023,双季晚稻,产量,湖南,797.10,万吨
2023,双季晚稻,产量,广东,567.20,万吨
2023,双季晚稻,产量,广西,455.50,万吨
2023,双季晚稻,产量,海南,59.50,万吨
2023,双季晚稻,产量,云南,3.80,万吨
2023,双季晚稻,播种面积,浙江,104.30,千公顷
2023,双季晚稻,播种面积,安徽,181,千公顷
2023,双季晚稻,播种面积,福建,252.70,千公顷
2023,双季晚稻,播种面积,江西,1237.20,千公顷
2023,双季晚稻,播种面积,湖北,144.30,千公顷
2023,双季晚稻,播种面积,湖南,1260.50,千公顷
2023,双季晚稻,播种面积,广东,961.70,千公顷
2023,双季晚稻,播种面积,广西,814.50,千公顷
2023,双季晚稻,播种面积,海南,116.50,千公顷
2023,向日葵籽,播种面积,北京,0.50,千公顷
2023,向日葵籽,播种面积,天津,0.20,千公顷
2023,向日葵籽,播种面积,河北,49.30,千公顷
2023,向日葵籽,播种面积,山西,34.60,千公顷
2023,向日葵籽,播种面积,内蒙古,496.60,千公顷
2023,向日葵籽,播种面积,辽宁,2.60,千公顷
2023,向日葵籽,播种面积,吉林,4.20,千公顷
2023,向日葵籽,播种面积,黑龙江,0.70,千公顷
2023,向日葵籽,播种面积,江苏,0.20,千公顷
2023,向日葵籽,播种面积,浙江,0.30,千公顷
2023,向日葵籽,播种面积,安徽,0.50,千公顷
2023,向日葵籽,播种面积,福建,0.10,千公顷
2023,向日葵籽,播种面积,江西,0.40,千公顷
2023,向日葵籽,播种面积,山东,1.40,千公顷
2023,向日葵籽,播种面积,河南,6,千公顷
2023,向日葵籽,播种面积,湖北,3.20,千公顷
2023,向日葵籽,播种面积,湖南,1.70,千公顷
2023,向日葵籽,播种面积,广西,0.30,千公顷
2023,向日葵籽,播种面积,重庆,2,千公顷
2023,向日葵籽,播种面积,贵州,4.20,千公顷
2023,向日葵籽,播种面积,云南,3.70,千公顷
2023,向日葵籽,播种面积,陕西,17.50,千公顷
2023,向日葵籽,播种面积,甘肃,27.50,千公顷
2023,向日葵籽,播种面积,宁夏,3,千公顷
2023,向日葵籽,播种面积,新疆,63.80,千公顷
2023,夏粮,产量,全国,14615.20,万吨
2023,夏粮,播种面积,全国,26608.60,千公顷
2023,大豆,产量,全国,2084.17,万吨
2023,大豆,产量,北京,1,万吨
2023,大豆,产量,天津,1.30,万吨
2023,大豆,产量,河北,24.50,万吨
2023,大豆,产量,山西,20.10,万吨
2023,大豆,产量,内蒙古,244.40,万吨
2023,大豆,产量,辽宁,28,万吨
2023,大豆,产量,吉林,74.40,万吨
2023,大豆,产量,黑龙江,927.80,万吨
2023,大豆,产量,上海,0.10,万吨
2023,大豆,产量,江苏,62.40,万吨
2023,大豆,产量,安徽,97.80,万吨
2023,大豆,产量,福建,10.10,万吨
2023,大豆,产量,江西,29.40,万吨
2023,大豆,产量,山东,64,万吨
2023,大豆,产量,河南,92.70,万吨
2023,大豆,产量,湖北,42.80,万吨
2023,大豆,产量,湖南,38,万吨
2023,大豆,产量,广东,9.60,万吨
2023,大豆,产量,广西,17.40,万吨
2023,大豆,产量,海南,0.40,万吨
2023,大豆,产量,重庆,24.40,万吨
2023,大豆,产量,四川,124.70,万吨
2023,大豆,产量,贵州,27.20,万吨
2023,大豆,产量,云南,34.20,万吨
2023,大豆,产量,陕西,31.70,万吨
2023,大豆,产量,甘肃,11.50,万吨
2023,大豆,产量,宁夏,3.40,万吨
2023,大豆,产量,新疆,19.30,万吨
2023,大豆,播种面积,全国,10473.84,千公顷
2023,小麦,产量,北京,13.39,万吨
2023,小麦,产量,天津,74.47,万吨
2023,小麦,产量,河北,1485.56,万吨
2023,小麦,产量,山西,247.08,万吨
2023,小麦,产量,内蒙古,132.46,万吨
2023,小麦,产量,辽宁,0.79,万吨
2023,小麦,产量,吉林,1.71,万吨
2023,小麦,产量,黑龙江,7.46,万吨
2023,小麦,产量,上海,12.94,万吨
2023,小麦,产量,江苏,1373.53,万吨
2023,小麦,产量,浙江,66.43,万吨
2023,小麦,产量,安徽,1740.72,万吨
2023,小麦,产量,福建,0.02,万吨
2023,小麦,产量,江西,3.46,万吨
2023,小麦,产量,山东,2673.76,万吨
2023,小麦,产量,河南,3549.73,万吨
2023,小麦,产量,湖北,410.42,万吨
2023,小麦,产量,湖南,7.71,万吨
2023,小麦,产量,广东,0.21,万吨
2023,小麦,产量,重庆,6.24,万吨
2023,小麦,产量,四川,265.93,万吨
2023,小麦,产量,贵州,27.65,万吨
2023,小麦,产量,云南,55.42,万吨
2023,小麦,产量,西藏,19.17,万吨
2023,小麦,产量,陕西,416.63,万吨
2023,小麦,产量,甘肃,299.17,万吨
2023,小麦,产量,青海,39.66,万吨
2023,小麦,产量,宁夏,23.45,万吨
2023,小麦,产量,新疆,702.84,万吨
2023,小麦,播种面积,全国,23627.25,千公顷
2023,小麦,播种面积,北京,24.99,千公顷
2023,小麦,播种面积,天津,122.88,千公顷
2023,小麦,播种面积,河北,2247.67,千公顷
2023,小麦,播种面积,山西,535.87,千公顷
2023,小麦,播种面积,内蒙古,400.95,千公顷
2023,小麦,播种面积,辽宁,1.95,千公顷
2023,小麦,播种面积,吉林,4.99,千公顷
2023,小麦,播种面积,黑龙江,19.29,千公顷
2023,小麦,播种面积,江苏,2389.52,千公顷
2023,小麦,播种面积,浙江,152.62,千公顷
2023,小麦,播种面积,安徽,2862.70,千公顷
2023,小麦,播种面积,福建,0.06,千公顷
2023,小麦,播种面积,江西,11.25,千公顷
2023,小麦,播种面积,山东,4008.86,千公顷
2023,小麦,播种面积,河南,5686.07,千公顷
2023,小麦,播种面积,湖北,1038.39,千公顷
2023,小麦,播种面积,湖南,22.70,千公顷
2023,小麦,播种面积,广东,0.66,千公顷
2023,小麦,播种面积,广西,4.60,千公顷
2023,小麦,播种面积,重庆,18.66,千公顷
2023,小麦,播种面积,四川,593,千公顷
2023,小麦,播种面积,贵州,110.51,千公顷
2023,小麦,播种面积,云南,257.02,千公顷
2023,小麦,播种面积,西藏,32.96,千公顷
2023,小麦,播种面积,陕西,941.05,千公顷
2023,小麦,播种面积,甘肃,740.15,千公顷
2023,小麦,播种面积,青海,101.04,千公顷
2023,小麦,播种面积,新疆,1209.22,千公顷
2023,早稻,产量,全国,2833.70,万吨
2023,早稻,播种面积,全国,4733.10,千公顷
2023,春小麦,产量,北京,0.20,万吨
2023,春小麦,产量,天津,9.80,万吨
2023,春小麦,产量,河北,7.80,万吨
2023,春小麦,产量,山西,0.10,万吨
2023,春小麦,产量,内蒙古,132.50,万吨
2023,春小麦,产量,辽宁,0.80,万吨
2023,春小麦,产量,吉林,1.70,万吨
2023,春小麦,产量,黑龙江,7.50,万吨
2023,春小麦,产量,四川,2,万吨
2023,春小麦,产量,西藏,6.40,万吨
2023,春小麦,产量,甘肃,115.10,万吨
2023,春小麦,产量,青海,39.70,万吨
2023,春小麦,产量,宁夏,18.30,万吨
2023,春小麦,产量,新疆,140.60,万吨
2023,春小麦,播种面积,北京,0.40,千公顷
2023,春小麦,播种面积,天津,17,千公顷
2023,春小麦,播种面积,山西,0.30,千公顷
2023,春小麦,播种面积,内蒙古,401,千公顷
2023,春小麦,播种面积,辽宁,2,千公顷
2023,春小麦,播种面积,吉林,5,千公顷
2023,春小麦,播种面积,黑龙江,19.30,千公顷
2023,春小麦,播种面积,四川,7,千公顷
2023,春小麦,播种面积,西藏,11.40,千公顷
2023,春小麦,播种面积,甘肃,214.80,千公顷
2023,春小麦,播种面积,青海,101,千公顷
2023,春小麦,播种面积,宁夏,39.70,千公顷
2023,春小麦,播种面积,新疆,251.30,千公顷
2023,果园,种植面积,全国,12738.06,千公顷
2023,果园,种植面积,北京,28.41,千公顷
2023,果园,种植面积,天津,14.30,千公顷
2023,果园,种植面积,河北,460.50,千公顷
2023,果园,种植面积,山西,380.27,千公顷
2023,果园,种植面积,内蒙古,99.52,千公顷
2023,果园,种植面积,辽宁,340.36,千公顷
2023,果园,种植面积,吉林,28.30,千公顷
2023,果园,种植面积,上海,10.76,千公顷
2023,果园,种植面积,江苏,180,千公顷
2023,果园,种植面积,浙江,291.72,千公顷
2023,果园,种植面积,安徽,165.51,千公顷
2023,果园,种植面积,福建,383.78,千公顷
